b8,龙战于野--20210603-持仓量20210326-20210528-中间值4.5--8周-换手率,106.7-流通市值,26.7亿,软件服务,云鼎科技**000409.SZ
xxxx,--Xiao V成功了--20240510,化工原料,恒大高新**002591.SZ,,
xxxx,--Xiao V成功了--20240510,服饰,雪松发展**002485.SZ,,
xxxx,--Xiao V成功了--20240510,汽车配件,双环传动**002472.SZ,,
xxxx,--Xiao V成功了--20240510,农药化肥,华昌化工**002274.SZ,,
xxxx,--Xiao V成功了--20240510,化学制药,联环药业**600513.SH,,
xxxx,--Xiao V成功了--20240510,软件服务,川大智胜**002253.SZ,,
xxxx,--Xiao V成功了--20240510,白酒,老白干酒**600559.SH,,
xxxx,--Xiao V成功了--20240510,百货,欧亚集团**600697.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,国泰集团**603977.SH,,
xxxx,--Xiao V成功了--20240510,农药化肥,中农立华**603970.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,醋化股份**603968.SH,,
xxxx,--Xiao V成功了--20240510,装修装饰,亚翔集成**603929.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,兴业股份**603928.SH,,
xxxx,--Xiao V成功了--20240510,汽车配件,豪能股份**603809.SH,,
xxxx,--Xiao V成功了--20240510,食品,日辰股份**603755.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,永冠新材**603681.SH,,
xxxx,--Xiao V成功了--20240510,小金属,三祥新材**603663.SH,,
xxxx,--Xiao V成功了--20240510,家用电器,春光科技**603657.SH,,
xxxx,--Xiao V成功了--20240510,电气设备,捷昌驱动**603583.SH,,
xxxx,--Xiao V成功了--20240510,环境保护,上海洗霸**603200.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,皇马科技**603181.SH,,
xxxx,--Xiao V成功了--20240510,运输设备,康尼机电**603111.SH,,
xxxx,--Xiao V成功了--20240510,广告包装,永吉股份**603058.SH,,
xxxx,--Xiao V成功了--20240510,纺织,台华新材**603055.SH,,
xxxx,--Xiao V成功了--20240510,服饰,奥康国际**603001.SH,,
xxxx,--Xiao V成功了--20240510,港口,唐山港**601000.SH,,
xxxx,--Xiao V成功了--20240510,文教休闲,中路股份**600818.SH,,
xxxx,--Xiao V成功了--20240510,综合类,悦达投资**600805.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,渤海化学**600800.SH,,
xxxx,--Xiao V成功了--20240510,农药化肥,钱江生化**600796.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,金牛化工**600722.SH,,
xxxx,--Xiao V成功了--20240510,化工原料,华谊集团**600623.SH,,
xxxx,--Xiao V成功了--20240509,化学制药,兄弟科技**002562.SZ,,
xxxx,--Xiao V成功了--20240510,超市连锁,步步高**002251.SZ,,
xxxx,--Xiao V成功了--20240510,通信设备,武汉凡谷**002194.SZ,,
xxxx,--Xiao V成功了--20240509,化工原料,金牛化工**600722.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,华谊集团**600623.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,氯碱化工**600618.SH,,
xxxx,--Xiao V成功了--20240509,仓储物流,广汇物流**600603.SH,,
xxxx,--Xiao V成功了--20240509,农药化肥,六国化工**600470.SH,,
xxxx,--Xiao V成功了--20240509,水务,洪城环境**600461.SH,,
xxxx,--Xiao V成功了--20240509,塑料,时代新材**600458.SH,,
xxxx,--Xiao V成功了--20240509,乳制品,三元股份**600429.SH,,
xxxx,--Xiao V成功了--20240509,中成药,昆药集团**600422.SH,,
xxxx,--Xiao V成功了--20240509,水务,钱江水利**600283.SH,,
xxxx,--Xiao V成功了--20240509,普钢,南钢股份**600282.SH,,
xxxx,--Xiao V成功了--20240509,化工原料,新疆天业**600075.SH,,
xxxx,--Xiao V成功了--20240509,元器件,恒铭达**002947.SZ,,
xxxx,--Xiao V成功了--20240509,电气设备,泰永长征**002927.SZ,,
xxxx,--Xiao V成功了--20240509,元器件,意华股份**002897.SZ,,
