000948.SZ-------------------G8买2 pro-1--强势股票----南天信息
000982.SZ-------------------G8买2 pro-1--中银绒业
000993.SZ-------------------G8买2 pro-1--闽东电力
002004.SZ-------------------G8买2 pro-1--强势股票----华邦健康
002010.SZ-------------------G8买2 pro-1--传化智联
002101.SZ-------------------G8买2 pro-1--强势股票----广东鸿图
002284.SZ-------------------G8买2 pro-1--亚太股份
002346.SZ-------------------G8买2 pro-1--柘中股份
002471.SZ-------------------G8买2 pro-1--中超控股
002513.SZ-------------------G8买2 pro-1--蓝丰生化
002521.SZ-------------------G8买2 pro-1--强势股票----齐峰新材
002536.SZ-------------------G8买2 pro-1--飞龙股份
002601.SZ-------------------G8买2 pro-1--强势股票----龙佰集团
002617.SZ-------------------G8买2 pro-1--露笑科技
002622.SZ-------------------G8买2 pro-1--融钰集团
002625.SZ-------------------G8买2 pro-1--光启技术
002649.SZ-------------------G8买2 pro-1--强势股票----博彦科技
002658.SZ-------------------G8买2 pro-1--雪迪龙
002857.SZ-------------------G8买2 pro-1--三晖电气
600025.SH-------------------G8买2 pro-1--华能水电
600071.SH-------------------G8买2 pro-1--凤凰光学
600076.SH-------------------G8买2 pro-1--强势股票----康欣新材
600080.SH-------------------G8买2 pro-1--强势股票----金花股份
600103.SH-------------------G8买2 pro-1--强势股票----青山纸业
600121.SH-------------------G8买2 pro-1--郑州煤电
600178.SH-------------------G8买2 pro-1--东安动力
600212.SH-------------------G8买2 pro-1--江泉实业
600215.SH-------------------G8买2 pro-1--长春经开
600236.SH-------------------G8买2 pro-1--桂冠电力
600343.SH-------------------G8买2 pro-1--强势股票----航天动力
600423.SH-------------------G8买2 pro-1--柳化股份
600459.SH-------------------G8买2 pro-1--贵研铂业
600509.SH-------------------G8买2 pro-1--强势股票----天富能源
600567.SH-------------------G8买2 pro-1--强势股票----山鹰国际
600722.SH-------------------G8买2 pro-1--金牛化工
600733.SH-------------------G8买2 pro-1--北汽蓝谷
600760.SH-------------------G8买2 pro-1--中航沈飞
600780.SH-------------------G8买2 pro-1--强势股票----通宝能源
600795.SH-------------------G8买2 pro-1--强势股票----国电电力
600865.SH-------------------G8买2 pro-1--强势股票----百大集团
600968.SH-------------------G8买2 pro-1--强势股票----海油发展
600971.SH-------------------G8买2 pro-1--恒源煤电
600982.SH-------------------G8买2 pro-1--强势股票----宁波能源
601015.SH-------------------G8买2 pro-1--陕西黑猫
601127.SH-------------------G8买2 pro-1--小康股份
601225.SH-------------------G8买2 pro-1--陕西煤业
601598.SH-------------------G8买2 pro-1--中国外运
601898.SH-------------------G8买2 pro-1--中煤能源
601899.SH-------------------G8买2 pro-1--紫金矿业
601996.SH-------------------G8买2 pro-1--丰林集团
603113.SH-------------------G8买2 pro-1--金能科技
603128.SH-------------------G8买2 pro-1--强势股票----华贸物流
603156.SH-------------------G8买2 pro-1--强势股票----养元饮品
603168.SH-------------------G8买2 pro-1--强势股票----莎普爱思
603198.SH-------------------G8买2 pro-1--迎驾贡酒
603297.SH-------------------G8买2 pro-1--永新光学
603489.SH-------------------G8买2 pro-1--八方股份
603618.SH-------------------G8买2 pro-1--强势股票----杭电股份
603698.SH-------------------G8买2 pro-1--航天工程
603833.SH-------------------G8买2 pro-1--欧派家居
603885.SH-------------------G8买2 pro-1--强势股票----吉祥航空
