--11周突破_周线开始=20220610-结束=20220812--中间值=14.0--周数=8--换手率,93.5----,机械基件,江苏神通--强势股票**002438.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.51--周数=9--换手率,89.1----,化工原料,龙星化工**002442.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=2.28--周数=8--换手率,57.3----,影视音像,中南文化**002445.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.93--周数=8--换手率,99.1----,半导体,国星光电**002449.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.88--周数=8--换手率,140.3----,化工原料,三维化学**002469.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=4.35--周数=7--换手率,198.6----,服饰,华斯股份**002494.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.44--周数=7--换手率,139.3----,汽车配件,旷达科技**002516.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=5.8--周数=8--换手率,154.4----,互联网,恺英网络**002517.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=32.32--周数=7--换手率,170.1----,电气设备,科士达**002518.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.95--周数=8--换手率,290.3----,电器仪表,新时达**002527.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.68--周数=7--换手率,249.8----,汽车配件,海联金汇**002537.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=15.71--周数=8--换手率,152.6----,环境保护,凯美特气--强势股票**002549.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=3.48--周数=9--换手率,231.9----,石油开采,惠博普**002554.SZ
--11周突破_周线开始=20220610-结束=20220812--中间值=7.39--周数=9--换手率,54.7----,元器件,深纺织A**000045.SZ
