,ts_code,symbol,name,area,industry,list_date
997,002497.SZ,002497,雅化集团,四川,小金属,20101109
998,002498.SZ,002498,汉缆股份,山东,电气设备,20101109
999,002500.SZ,002500,山西证券,山西,证券,20101115
1000,002501.SZ,002501,利源股份,吉林,铝,20101117
1001,002502.SZ,002502,ST鼎龙,广东,互联网,20101117
1002,002505.SZ,002505,鹏都农牧,湖南,商贸代理,20101118
1003,002506.SZ,002506,协鑫集成,上海,电气设备,20101118
1004,002507.SZ,002507,涪陵榨菜,重庆,食品,20101123
1005,002508.SZ,002508,老板电器,浙江,家用电器,20101123
1006,002510.SZ,002510,天汽模,天津,汽车配件,20101125
1007,002511.SZ,002511,中顺洁柔,广东,造纸,20101125
1008,002512.SZ,002512,达华智能,福建,IT设备,20101203
1009,002513.SZ,002513,蓝丰生化,江苏,农药化肥,20101203
1010,002514.SZ,002514,宝馨科技,江苏,机械基件,20101203
1011,002515.SZ,002515,金字火腿,浙江,食品,20101203
1012,002516.SZ,002516,旷达科技,江苏,汽车配件,20101207
1013,002517.SZ,002517,恺英网络,福建,互联网,20101207
1014,002518.SZ,002518,科士达,深圳,电气设备,20101207
1015,002519.SZ,002519,银河电子,江苏,通信设备,20101207
1016,002520.SZ,002520,日发精机,浙江,机床制造,20101210
1017,002521.SZ,002521,齐峰新材,山东,造纸,20101210
1018,002522.SZ,002522,浙江众成,浙江,塑料,20101210
1019,002523.SZ,002523,天桥起重,湖南,专用机械,20101210
1020,002524.SZ,002524,光正眼科,新疆,医疗保健,20101217
1021,002526.SZ,002526,山东矿机,山东,工程机械,20101217
1022,002527.SZ,002527,新时达,上海,电器仪表,20101224
1023,002528.SZ,002528,ST英飞拓,深圳,IT设备,20101224
1024,002529.SZ,002529,海源复材,江西,专用机械,20101224
1025,002530.SZ,002530,金财互联,江苏,专用机械,20101231
1026,002531.SZ,002531,天顺风能,江苏,电气设备,20101231
1027,002532.SZ,002532,天山铝业,浙江,铝,20101231
1028,002533.SZ,002533,金杯电工,湖南,电气设备,20101231
1029,002534.SZ,002534,西子洁能,浙江,专用机械,20110110
1030,002535.SZ,002535,林州重机,河南,工程机械,20110111
1031,002536.SZ,002536,飞龙股份,河南,汽车配件,20110111
1032,002537.SZ,002537,海联金汇,山东,汽车配件,20110110
1033,002538.SZ,002538,司尔特,安徽,农药化肥,20110118
1034,002539.SZ,002539,云图控股,四川,农药化肥,20110118
1035,002540.SZ,002540,亚太科技,江苏,铝,20110118
1036,002541.SZ,002541,鸿路钢构,安徽,钢加工,20110118
1037,002542.SZ,002542,中化岩土,北京,建筑工程,20110128
1038,002543.SZ,002543,万和电气,广东,家用电器,20110128
1039,002544.SZ,002544,普天科技,广东,通信设备,20110128
1040,002545.SZ,002545,东方铁塔,山东,农药化肥,20110211
1041,002546.SZ,002546,新联电子,江苏,电气设备,20110211
1042,002547.SZ,002547,春兴精工,江苏,汽车配件,20110218
1043,002548.SZ,002548,金新农,深圳,饲料,20110218
1044,002549.SZ,002549,凯美特气,湖南,环境保护,20110218
1045,002550.SZ,002550,千红制药,江苏,生物制药,20110218
1046,002551.SZ,002551,尚荣医疗,深圳,医疗保健,20110225
1047,002552.SZ,002552,宝鼎科技,浙江,元器件,20110225
1048,002553.SZ,002553,南方精工,江苏,汽车配件,20110225
1049,002554.SZ,002554,惠博普,湖南,石油开采,20110225
1050,002555.SZ,002555,三七互娱,安徽,互联网,20110302
1051,002556.SZ,002556,辉隆股份,安徽,农药化肥,20110302
1052,002557.SZ,002557,洽洽食品,安徽,食品,20110302
1053,002558.SZ,002558,巨人网络,重庆,互联网,20110302
1054,002559.SZ,002559,亚威股份,江苏,机床制造,20110303
1055,002560.SZ,002560,通达股份,河南,电气设备,20110303
1056,002561.SZ,002561,徐家汇,上海,百货,20110303
1057,002562.SZ,002562,兄弟科技,浙江,化学制药,20110310
1058,002563.SZ,002563,森马服饰,浙江,服饰,20110311
1059,002564.SZ,002564,*ST天沃,江苏,化工机械,20110310
1060,002565.SZ,002565,顺灏股份,上海,造纸,20110318
1061,002566.SZ,002566,益盛药业,吉林,中成药,20110318
1062,002567.SZ,002567,唐人神,湖南,饲料,20110325
1063,002568.SZ,002568,百润股份,上海,红黄酒,20110325
1064,002569.SZ,002569,ST步森,浙江,服饰,20110412
1065,002570.SZ,002570,贝因美,浙江,乳制品,20110412
1066,002571.SZ,002571,德力股份,安徽,家居用品,20110412
1067,002572.SZ,002572,索菲亚,广东,家居用品,20110412
1068,002573.SZ,002573,清新环境,北京,环境保护,20110422
1069,002574.SZ,002574,明牌珠宝,浙江,服饰,20110422
1070,002575.SZ,002575,群兴玩具,广东,文教休闲,20110422
1071,002576.SZ,002576,通达动力,江苏,电气设备,20110428
1072,002577.SZ,002577,雷柏科技,深圳,IT设备,20110428
1073,002578.SZ,002578,闽发铝业,福建,铝,20110428
