,trade_date,open,close,high,low
134,20200823,2.8818,3.13,3.49,2.8818
133,20200816,2.84,2.96,3.02,2.7146
132,20200809,2.7047,2.7933,2.85,2.6949
131,20200802,2.7047,2.75,2.77,2.6556
130,20200726,2.6949,2.6556,2.85,2.6457
129,20200719,2.7342,2.6949,2.87,2.6654
128,20200712,2.6457,2.78,2.86,2.6457
127,20200705,2.6,2.6457,2.69,2.5277
126,20200628,2.65,2.61,2.66,2.6
125,20200621,2.65,2.65,2.67,2.63
124,20200614,2.7209,2.65,2.7398,2.63
123,20200607,2.6454,2.7209,2.7398,2.6265
122,20200531,2.532,2.6265,2.6737,2.5225
121,20200524,2.5792,2.5414,2.6265,2.5225
120,20200517,2.7304,2.5887,2.7493,2.5792
119,20200510,2.5509,2.7398,2.8343,2.5509
118,20200503,2.5131,2.5792,2.6643,2.4092
117,20200426,2.5225,2.5225,2.5603,2.4847
116,20200419,2.5225,2.5225,2.5603,2.5131
115,20200412,2.5225,2.532,2.5887,2.5036
114,20200405,2.5225,2.5036,2.5225,2.4658
113,20200329,2.4942,2.5414,2.5603,2.4375
112,20200322,2.6454,2.5225,2.6831,2.447
111,20200315,2.6643,2.6359,2.8532,2.5509
110,20200308,2.5036,2.6926,2.7398,2.4942
109,20200301,2.5792,2.4942,2.5887,2.4564
108,20200223,2.4847,2.5887,2.5981,2.4658
107,20200216,2.4753,2.5036,2.5603,2.4564
106,20200209,2.5036,2.4753,2.5225,2.3336
105,20200126,2.8438,2.7493,2.8532,2.7209
104,20200119,2.8721,2.8343,2.9004,2.8249
103,20200112,2.8721,2.891,2.9099,2.8438
102,20200105,2.8249,2.8815,2.891,2.8249
101,20191229,2.8438,2.8438,2.8532,2.7965
100,20191222,2.806,2.8438,2.8721,2.7965
99,20191215,2.8154,2.806,2.8154,2.7776
98,20191208,2.7682,2.806,2.806,2.7493
97,20191201,2.7682,2.7682,2.8249,2.7398
96,20191124,2.7304,2.7682,2.7965,2.7115
95,20191117,2.8249,2.7304,2.8249,2.7209
94,20191110,2.8532,2.8154,2.8627,2.8154
93,20191103,2.8627,2.8532,2.891,2.806
92,20191027,2.8721,2.8721,2.8721,2.8343
91,20191020,2.9382,2.8627,2.9571,2.8532
90,20191013,2.8815,2.9193,2.9288,2.8721
89,20191006,2.891,2.8815,2.9004,2.8721
88,20190929,2.9760000000000004,2.891,2.9949,2.8721
