,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75
517,603180.SH,20181116,44.7497,45.7626,44.5068,45.7626,41.5998,4.162799999999997,10.0068,13597.47,88810.132,39.8959,15578.61,37.0688,13183.2146,35.9215,10592.1788,60.0071,8715.28,67.8153,8439.4122,41.0556,10162.9107
518,603180.SH,20181115,39.234,41.5998,39.234,41.5998,37.8187,3.781100000000002,9.998,22039.17,128500.97,37.7215,13956.316,36.1103,12895.1546,35.7946,10431.1985,60.4478,8661.1038,68.2044,8380.729,41.2663,10058.2243
519,603180.SH,20181114,37.4718,38.228,36.9792,37.8187,37.5342,0.2845000000000013,0.758,12326.82,66853.225,36.4311,10823.632,35.4288,11953.08,35.7738,10012.5535,60.9454,8544.679,68.6172,8275.228,41.5582,9846.9019
520,603180.SH,20181113,36.2507,37.8256,36.2438,37.5342,36.7641,0.7700999999999993,2.0947,16148.37,86777.032,35.9801,9991.848,35.1113,12359.5069,35.8699,10067.0779,61.4634,8484.9719,69.0394,8227.6995,41.9093,9795.2383
521,603180.SH,20181112,34.759,36.8474,34.759,36.7641,34.8909,1.873199999999997,5.3687,13781.22,71964.899,35.7082,9029.076,34.6769,11846.5038,35.9291,9898.3426,61.9754,8402.8722,69.4789,8164.7209,42.2267,9662.5424
522,603180.SH,20181109,35.0019,35.3765,34.7313,34.8909,35.1476,-0.25669999999999504,-0.7303,5486.0,27705.702,35.5597,9535.784,34.3785,11379.7946,35.9722,9758.4491,62.4865,8337.8838,69.9175,8129.8989,42.5597,9578.3251
523,603180.SH,20181108,35.7997,36.0287,34.8492,35.1476,35.5638,-0.41620000000000346,-1.1703,6375.75,32512.996,35.8427,11938.714,34.2024,11667.7785,36.146,9757.4321,63.0089,8347.8887,70.3377,8141.8727,42.8976,9607.2495
524,603180.SH,20181107,35.8414,36.3894,35.3904,35.5638,36.1744,-0.610599999999998,-1.6879,8167.9,42090.037,35.6138,13419.02,34.0807,12111.6231,36.3368,9778.9574,63.4881,8372.9217,70.7496,8151.4482,43.2676,9596.3113
525,603180.SH,20181106,36.1397,37.111,35.3973,36.1744,36.0217,0.15269999999999584,0.4239,11334.51,59022.714,35.3626,14691.818,33.8005,12013.9131,36.5049,9890.3697,63.9807,8357.1495,71.1723,8142.3957,43.653,9571.3685
526,603180.SH,20181105,36.6184,36.6878,35.3002,36.0217,36.3062,-0.2844999999999942,-0.7836,16314.76,85088.744,34.7882,14395.454,33.4248,11651.5754,36.6286,9739.3688,64.4861,8316.514,71.5857,8139.2329,44.0523,9515.8256
527,603180.SH,20181102,34.6758,36.5351,34.3844,36.3062,34.0028,2.3033999999999963,6.7741,17500.65,89238.373,34.1319,13090.942,33.1409,11049.3515,36.7527,9453.2659,64.9911,8254.2331,72.0273,8074.1485,44.4716,9488.0819
528,603180.SH,20181101,34.4607,35.2031,33.9057,34.0028,34.3081,-0.30530000000000257,-0.8899,13777.28,68671.348,33.6087,13112.886,32.7695,10246.3246,36.8998,9155.0982,65.5047,8172.3535,72.4665,7998.618,44.83,9371.7253
529,603180.SH,20181031,33.3159,34.7937,33.3021,34.3081,33.3021,1.0060000000000002,3.0208,14531.89,71406.454,33.1855,12253.296,32.6755,9651.6031,37.1047,8953.2253,66.0337,8148.7089,72.922,7957.0247,45.1855,9343.3452
