,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma13,ma_v_13,ma34,ma_v_34,ma144,ma_v_144,ma169,ma_v_169,ma75,ma_v_75,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60
72,600809.SH,20210818,305.61,309.58,295.0,304.45,304.61,-0.160000000000025,-0.0525,82444.14,2497213.144,316.072,64176.638,315.2985,91985.5638,328.9992,95275.2929,290.7982,73609.7929,284.7884,72651.7191,325.5079,71708.3212,316.517,78756.507,318.877,101344.45,329.9477,97821.294,330.2556,77836.2542
73,600809.SH,20210817,327.61,327.63,302.0,304.61,327.6,-22.99000000000001,-7.0177,87285.18,2729508.714,320.022,64305.338,313.8792,98582.4362,329.747,94204.3871,290.6138,73499.3111,284.1357,72536.8531,325.4089,72039.8819,316.972,78204.73,322.0495,101670.6005,330.7323,97307.3193,330.6395,77454.2983
74,600809.SH,20210816,323.0,329.9,321.0,327.6,322.7,4.900000000000034,1.5184,46687.28,1523570.194,325.598,73827.638,314.6785,100014.5485,330.196,92709.13,290.4669,73326.794,283.4533,72357.6008,325.4321,71882.4005,317.879,81340.269,325.394,99935.327,331.2787,97314.7273,330.8846,76656.1713
75,600809.SH,20210813,320.39,326.64,318.18,322.7,321.0,1.6999999999999886,0.5296,48493.9,1565085.461,322.076,81942.78,314.2362,107239.3354,329.9835,92914.8662,290.1692,73553.5228,282.6179,72360.0453,324.9319,72379.6779,316.222,97939.573,327.704,100531.3095,331.3173,98600.9837,330.7559,76657.2073
76,600809.SH,20210812,322.98,329.99,319.95,321.0,324.2,-3.1999999999999886,-0.987,55972.69,1813441.339,319.312,87987.6,314.1331,112706.9438,329.8609,92879.9559,289.856,74011.0664,281.8193,72452.3085,324.3562,72376.7693,312.552,109910.531,330.0745,101580.676,330.8871,99148.3153,330.7647,76674.3867
77,600809.SH,20210811,327.0,334.71,320.0,324.2,332.49,-8.29000000000002,-2.4933,83087.64,2713910.024,316.962,93336.376,314.0562,119688.2638,329.8008,92784.9503,289.6697,74268.9683,281.0071,72403.2638,323.7937,72192.1304,311.952,114903.526,332.732,103729.7485,331.1829,98817.0037,330.635,76271.5778
78,600809.SH,20210810,310.67,336.0,301.74,332.49,309.99,22.5,7.2583,134896.68,4333696.865,313.922,92104.122,316.4077,117863.5462,329.5812,92727.6865,289.5191,74123.4746,280.1426,72151.6269,323.1648,71837.8247,311.717,120655.713,334.2985,104994.1915,331.0387,97262.297,330.5272,75600.802
79,600809.SH,20210809,305.0,316.6,304.2,309.99,308.88,1.1100000000000136,0.3594,87262.99,2719721.19,310.16,88852.9,318.4992,114463.1915,328.9171,91944.9238,289.1687,73744.2822,279.2307,71662.2666,322.3706,71253.058,310.604,119123.326,334.734,105044.35,330.6349,94555.1513,330.2607,74125.5742
80,600809.SH,20210806,308.73,315.74,300.2,308.88,309.25,-0.37000000000000455,-0.1196,78718.0,2423081.623,310.368,113936.366,322.9538,114594.2808,329.7538,90688.5088,288.9282,73670.988,278.4133,71639.864,321.6565,71030.7041,311.605,125070.012,334.7845,105374.975,330.9197,93223.2833,330.2667,73486.9925
81,600809.SH,20210805,300.0,317.9,293.88,309.25,309.0,0.25,0.0809,82716.57,2552591.949,305.792,131833.462,327.7708,112583.6431,330.5665,90637.3935,288.6358,73702.421,277.6682,71361.4018,320.9132,70595.83,316.194,123134.843,335.1755,106757.0355,331.2556,92357.4333,330.177,72874.6705
82,600809.SH,20210804,310.0,315.9,300.99,309.0,313.68,-4.680000000000007,-1.492,76926.37,2377402.885,306.942,136470.676,332.7362,110729.0554,331.7414,89683.1397,288.3491,73531.1139,276.9164,71130.3007,320.1314,70105.762,321.237,123932.393,336.663,107353.6875,331.505,92304.9033,330.0744,72553.2785
83,600809.SH,20210803,303.0,318.32,292.0,313.68,311.03,2.650000000000034,0.852,118640.57,3621416.879,309.512,149207.304,337.4369,110156.3523,333.0947,88724.7712,288.0075,73294.9021,276.1678,70948.8495,319.3624,69687.5297,327.127,125136.471,337.6125,106858.614,331.5353,93350.116,329.7772,72112.6803
84,600809.SH,20210802,273.0,313.57,267.36,311.03,286.0,25.029999999999973,8.7517,212680.32,6134608.207,311.048,149393.752,342.0885,108642.0115,333.9695,86488.9626,287.6142,72851.9244,275.4346,70471.7886,318.5408,68650.3004,332.909,118530.385,337.9785,105301.9565,332.3607,90880.2597,329.2617,70959.3513
85,600809.SH,20210730,309.0,309.0,283.5,286.0,315.0,-29.0,-9.2063,168203.48,4882319.743,312.842,136203.658,345.5115,100618.6408,335.0277,81676.2747,287.2308,71883.419,274.7218,69476.8747,317.6877,66454.7967,339.186,103123.046,338.865,98931.689,333.2101,86356.9183,328.8524,68156.6728
86,600809.SH,20210729,330.0,338.0,311.1,315.0,321.85,-6.850000000000023,-2.1283,105902.64,3376847.297,326.596,114436.224,349.7577,98133.7462,336.4913,78546.0121,286.8687,70995.4574,274.166,68715.3131,317.2131,64824.1809,347.597,93250.821,340.0547,93767.2075,335.3165,82425.867,328.9215,66134.6998
87,600809.SH,20210728,315.92,323.89,299.01,321.85,321.36,0.4900000000000091,0.1525,140609.51,4390327.2,335.532,111394.11,349.45,97208.5808,337.4602,77304.5724,286.261,70633.1835,273.4003,68375.5084,316.3261,64269.8193,353.512,92555.971,340.7983,90773.7425,336.6503,80373.8403,328.5535,65136.7607
88,600809.SH,20210727,318.36,338.98,318.0,321.36,320.0,1.3600000000000136,0.425,119572.81,3921403.819,344.742,101065.638,349.0538,94573.9423,337.7802,75023.7247,285.6428,70167.5587,272.59,67900.3367,315.5096,63264.4047,356.88,89332.67,340.6996,85565.589,337.3694,77107.626,328.1398,64581.7887
89,600809.SH,20210726,353.16,353.32,319.29,320.0,354.77,-34.76999999999998,-9.8007,146729.85,4820785.257,354.77,87667.018,350.4108,92656.7731,338.0381,74531.6253,285.0368,69732.3771,271.8157,67641.2769,314.5192,62599.3933,358.864,90965.374,340.6504,82271.064,338.2244,74756.83,327.8896,63846.8098
90,600809.SH,20210723,357.0,360.0,349.0,354.77,359.68,-4.910000000000025,-1.3651,59366.31,2102203.119,365.53,70042.434,351.0254,86525.6231,339.1031,71893.305,284.4075,69162.8376,271.0765,67161.9405,313.7569,61357.0768,357.964,85679.938,340.5771,77299.919,338.7498,71924.9867,327.391,62801.0303
91,600809.SH,20210722,369.0,380.77,357.0,359.68,367.9,-8.21999999999997,-2.2343,90692.07,3327400.171,368.598,72065.418,348.4277,88690.3238,338.7321,71354.5306,283.5817,69311.3038,270.0339,67126.0494,312.5328,61463.7957,354.157,90379.228,338.7863,76968.7285,338.5222,72069.2327,326.1369,62616.1878
92,600809.SH,20210721,371.0,374.5,361.0,367.9,371.5,-3.6000000000000227,-0.969,88967.15,3267970.223,371.492,73717.832,346.0492,88273.6238,338.0614,70435.3921,282.6923,69099.5065,268.9829,66798.3154,311.0014,60744.4433,352.089,90774.982,336.6391,76491.1585,337.6239,71148.1867,324.7891,61806.7328
93,600809.SH,20210720,371.0,376.39,368.0,371.5,373.8,-2.3000000000000114,-0.6153,52579.71,1955358.134,369.018,77599.702,341.5796,86423.37,336.7854,68765.4935,281.6249,68771.1958,267.8688,66567.6947,309.2643,60312.0479,348.098,88580.757,333.7395,77456.9385,336.3648,71610.6627,323.2747,61265.8588
