modecode,modename,info
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=10.8--周数=7--换手率=57.0----众源新材**603527.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=16.4--周数=6--换手率=38.9----南都物业**603506.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.73--周数=6--换手率=30.6----卧龙地产**600173.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.9--周数=8--换手率=137.8----神开股份**002278.SZ
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=7.69--周数=7--换手率=152.4----新农开发**600359.SH
a4,短线强庄股,--短线强庄股成功了--20220318--持仓量_周线开始=20220107-结束=20220318--中间值=5.86--周数=6--换手率=229.1----粤桂股份**000833.SZ
a6,神1,--神 1 成功了--涨停板日期:20220310--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=17.49--周数=10--换手率=93.5----上海天洋**603330.SH
a61,神1pro,--神 1pro成功了--涨停板日期:20220316--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=7.84--周数=7--换手率=166.2----铜峰电子**600237.SH
a61,神1pro,--神 1pro成功了--涨停板日期:20220316--20220323--持仓量_周线开始=20220107-结束=20220318--中间值=5.47--周数=9--换手率=82.9----读者传媒**603999.SH
a71,神2,--不是横盘-----神2  成功了---涨停板日期20220310 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.65--周数=7--换手率=353.7----汉森制药**002412.SZ
a71,神2,--不是横盘-----神2  成功了---涨停板日期20220216 ----20220323--宁波建工**601789.SH
a72,神2pro,--不是横盘-----神2pro  成功了---涨停板日期20220225 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=8.93--周数=6--换手率=74.7----百大集团**600865.SH
a72,神2pro,--不是横盘-----神2pro  成功了---涨停板日期20220310 ----20220323--持仓量_周线开始=20220107-结束=20220318--中间值=6.65--周数=7--换手率=353.7----汉森制药**002412.SZ
a73,神3,--神3--涨停日期:20220321--持仓量_周线开始=20220107-结束=20220318--中间值=8.97--周数=6--换手率=57.5----汉马科技**600375.SH
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=3.82--周数=7--换手率=347.8----惠博普**002554.SZ
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=4.9--周数=6--换手率=54.6----科陆电子**002121.SZ
b3,见龙在田5,--见龙在田5--20220321--福达股份**603166.SH
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=10.66--周数=6--换手率=334.1----众生药业**002317.SZ
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=32.63--周数=7--换手率=130.7----香山股份--强势股票**002870.SZ
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.32--周数=6--换手率=115.1----宝胜股份--强势股票**600973.SH
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=3.3--周数=9--换手率=98.1----远大智能**002689.SZ
b3,见龙在田5,--见龙在田5--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.05--周数=10--换手率=110.2----冀凯股份**002691.SZ
b8,龙战于野,阴线实体大于3.6最好:4.21-----龙战于野----20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.05--周数=10--换手率=110.2----冀凯股份**002691.SZ
d3,阴错阳差,--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=14.44--周数=6--换手率=93.4----金溢科技**002869.SZ
d3,阴错阳差,--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.87--周数=10--换手率=169.7----恒基达鑫**002492.SZ
d3,阴错阳差,--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=5.1--周数=7--换手率=146.2----春兰股份**600854.SH
d3,阴错阳差,--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=20.8--周数=6--换手率=88.6----沃格光电--强势股票**603773.SH
d3,阴错阳差,--阴错阳差  成功了--20220321--持仓量_周线开始=20220107-结束=20220318--中间值=4.5--周数=7--换手率=92.3----凤凰股份**600716.SH
f11,有惊无险2,-----有惊无险2_2-----20220321--持仓量_周线开始=20220107-结束=20220318--中间值=6.44--周数=6--换手率=258.2----新金路--强势股票**000510.SZ
f11,有惊无险2,-----有惊无险2-1-----20220322--持仓量_周线开始=20220107-结束=20220318--中间值=10.66--周数=6--换手率=334.1----众生药业**002317.SZ
f9,凌波微步,"-----缺口理论, 凌波微步  成功了 ----20220314--持仓量_周线开始=20211231-结束=20220311--中间值=3.25--周数=10--换手率=421.4----精伦电子**600355.SH"
xxxx,00_测试定时任务,下载数据开始=20220323--code_name is null-000001.SZ--小树股票池**000001.SZ
---------------------------------------20220323---------------------------------------
-----------------------------------------亢龙有悔 大盘 趋势 start--   ---------------------------------------
-----------------------------------------神龙摆尾 2   start--   ---------------------------------------
