trade_date,ts_code,close,open,high,low,pre_close,change,pct_chg,vol,amount,WeekMa10,WeekMa60,Week60-10,Week10-60
20210618,603139.SH,16.6548,16.9437,16.9835,16.5552,16.9437,-0.28889999999999816,-1.7051,1363003.0,22912361.0,16.699639999999977,17.663688333333305,0.9640483333333272,-0.9640483333333272
20210611,603139.SH,16.9437,17.2326,17.5314,16.9038,17.2624,-0.31869999999999976,-1.8462,3142853.0,54556662.0,16.680719999999976,17.664808333333305,0.9840883333333288,-0.9840883333333288
20210604,603139.SH,17.2624,16.9337,18.0892,16.854,17.6908,-0.4283999999999999,-2.4216,7340626.0,127911971.0,16.604019999999977,17.67895499999997,1.0749349999999929,-1.0749349999999929
20210528,603139.SH,17.6908,17.1329,18.0892,16.6349,17.362,0.3288000000000011,1.8938,8382729.0,144948615.0,16.48747999999998,17.678869999999968,1.1913899999999877,-1.1913899999999877
20210521,603139.SH,17.362,16.4257,18.3183,16.0372,16.5154,0.8465999999999987,5.1261,8627373.0,147691165.0,16.34204999999998,17.66420999999997,1.3221599999999896,-1.3221599999999896
20210514,603139.SH,16.5154,15.838,16.7644,15.5491,15.838,0.6774000000000004,4.2771,3535759.0,57767300.0,16.14183999999998,17.6656033333333,1.5237633333333207,-1.5237633333333207
20210507,603139.SH,15.838,16.1468,16.3062,15.8181,16.1568,-0.3188000000000013,-1.9732,1056330.0,17048931.0,16.098999999999982,17.684741666666635,1.585741666666653,-1.585741666666653
20210430,603139.SH,16.1568,15.9376,16.3161,15.6089,15.838,0.3188000000000013,2.0129,2199335.0,35461204.0,16.096009999999982,17.702118333333303,1.6061083333333208,-1.6061083333333208
20210423,603139.SH,15.838,16.6847,17.0333,15.838,16.7345,-0.8965000000000014,-5.3572,5292522.0,88109532.0,16.065129999999982,17.727893333333302,1.66276333333332,-1.66276333333332
20210416,603139.SH,16.7345,16.346,18.9259,15.9376,16.4656,0.26890000000000214,1.6331,10728363.0,187051549.0,16.013329999999982,17.7437833333333,1.730453333333319,-1.730453333333319
20210409,603139.SH,16.4656,16.1368,16.595,16.1368,16.1767,0.28889999999999816,1.7859,1293229.0,21255784.0,15.840999999999983,17.759929999999965,1.9189299999999818,-1.9189299999999818
20210402,603139.SH,16.1767,16.097,16.3659,15.9277,16.097,0.079699999999999,0.4951,1885751.0,30536000.0,15.692579999999984,17.768994999999965,2.0764149999999812,-2.0764149999999812
20210326,603139.SH,16.097,16.2365,16.3261,15.6388,16.2365,-0.13949999999999818,-0.8592,2069404.0,33319484.0,15.729429999999983,17.798899999999964,2.0694699999999813,-2.0694699999999813
20210319,603139.SH,16.2365,15.3599,16.2365,15.2702,15.3599,0.8765999999999998,5.7071,1653436.0,26362251.0,15.636789999999982,17.814438333333296,2.1776483333333143,-2.1776483333333143
20210312,603139.SH,15.3599,15.9874,16.4855,15.1806,16.087,-0.7271000000000001,-4.5198,2017456.0,32038429.0,15.576019999999982,17.828643333333297,2.2526233333333145,-2.2526233333333145
20210305,603139.SH,16.087,15.848,16.2365,15.5392,15.8081,0.27890000000000015,1.7643,1331980.0,21239773.0,15.71148999999998,17.860101666666633,2.1486116666666533,-2.1486116666666533
