,ts_code,trade_date,close,open,high,low,vol,amount
69,002303.SZ,20160229,9.08,8.24,11.29,7.81,303041971.0,2929412035.88
70,002303.SZ,20160129,8.25,13.68,13.73,7.5,370939893.0,3781865030.94
71,002303.SZ,20151231,13.65,15.0,15.43,12.91,759939281.0,10630510114.87
72,002303.SZ,20151130,15.55,12.85,15.55,12.85,149987214.0,2279856897.81
73,002303.SZ,20150831,11.68,12.01,15.0,11.52,633258086.0,8606164523.82
74,002303.SZ,20150731,11.73,21.43,21.43,11.5,1036473245.0,16852728864.63
75,002303.SZ,20150630,47.7,41.97,54.56,41.97,84857450.0,4030178803.49
76,002303.SZ,20150529,41.97,26.6,46.86,25.45,315623664.0,11618021075.67
77,002303.SZ,20150430,26.55,26.88,30.86,24.5,224442137.0,6223232606.03
78,002303.SZ,20150331,26.9,18.48,27.7,18.48,305376832.0,7005840313.42
79,002303.SZ,20150227,18.48,15.4,19.52,15.15,158401264.0,2724560944.77
80,002303.SZ,20150130,15.48,13.44,16.28,12.7,225824467.0,3335764883.03
