,ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,circ_mv
301,688513.SH,20220323,54.7,1.0758,0.57,36.8705,2.8666,325937.608
302,688556.SH,20220323,75.1,1.9988,0.54,206.494,10.5319,888750.7106
303,603277.SH,20220323,18.64,0.107,0.6,25.2223,3.598,764331.336
304,001965.SZ,20220323,7.48,0.2169,0.49,20.7924,0.8977,1445737.9328
305,600120.SH,20220323,4.3,4.2388,1.99,13.7902,0.89,1245418.942
306,688175.SH,20220323,44.77,9.6554,0.36,34.9395,2.3156,79581.885
307,603098.SH,20220323,45.86,0.5296,0.7,135.4179,9.099,2470936.6991
308,600603.SH,20220323,3.61,0.9395,1.09,7.9204,0.8447,452345.5798
309,000925.SZ,20220323,10.7,5.9209,0.78,105.8206,2.3128,574898.5527
310,605222.SH,20220323,21.13,2.0412,1.3,21.5353,2.545,211334.2581
311,688536.SH,20220323,687.9,0.6417,0.6,124.4415,17.3804,2958649.5076
312,000505.SZ,20220323,8.71,16.4645,3.78,34.2539,2.2306,540730.182
313,300722.SZ,20220323,32.92,1.7667,1.24,116.8997,11.8976,575178.24
314,688981.SH,20220323,47.59,0.887,1.13,86.826,3.4447,8904270.7938
315,300584.SZ,20220323,62.4,12.3945,0.6,135.5784,10.8086,399642.3662
316,003040.SZ,20220323,22.14,9.3297,0.93,98.001,7.5837,173562.3566
317,688032.SH,20220323,716.0,1.5024,0.52,275.1069,4.7914,630126.8264
318,002776.SZ,20220323,3.05,2.9699,1.73,,0.8213,164086.6773
319,600249.SH,20220323,6.01,3.4889,0.58,56.9852,1.5518,330550.0
320,300707.SZ,20220323,15.56,2.2978,0.85,76.8772,3.3524,173148.5291
321,603826.SH,20220323,54.29,0.3702,0.68,176.7751,14.8439,2540772.0
322,600397.SH,20220323,3.51,2.702,0.8,,5.6108,347475.9186
323,000428.SZ,20220323,3.9,3.1003,0.48,,2.15,397359.3
324,600866.SH,20220323,7.72,0.2387,0.05,38.3647,3.2625,570522.7962
325,002146.SZ,20220323,4.25,3.7458,2.09,2.4635,0.3696,1654622.3178
326,600321.SH,20220323,2.19,1.3992,1.01,,1.7456,330810.45
327,300976.SZ,20220323,64.39,0.8342,0.59,28.2924,2.0047,151294.6074
328,300911.SZ,20220323,53.96,4.0983,1.11,40.5719,4.981,226272.3026
329,600967.SH,20220323,9.69,0.6871,1.11,25.1687,1.6298,1637253.2307
330,600039.SH,20220323,10.31,0.7647,0.78,16.2732,1.9545,3760621.0704
331,000031.SZ,20220323,4.23,2.6703,2.39,,0.9183,799786.5846
332,000738.SZ,20220323,24.29,1.5867,1.61,86.9087,2.8071,2782745.9552
333,600888.SH,20220323,7.49,1.2255,0.86,28.745,1.4848,929793.9825
334,600648.SH,20220323,12.97,0.8033,1.51,20.4059,1.2596,1212424.7363
335,600340.SH,20220323,3.55,8.7023,2.78,3.7904,0.4435,1382141.047
336,603159.SH,20220323,13.6,0.2283,0.57,47.3215,4.2037,190400.0
337,600812.SH,20220323,7.93,0.5169,0.58,139.7988,2.2317,1293228.1501
338,688561.SH,20220323,58.87,0.7007,1.43,,4.0568,2699511.7073
339,600955.SH,20220323,36.81,2.4745,1.14,9.4178,2.4544,506137.5
340,002712.SZ,20220323,4.96,1.1702,0.71,,1.461,284828.9955
