,ts_code,symbol,name,area,industry,list_date
184,000631.SZ,000631,顺发恒业,吉林,区域地产,19961122
185,000632.SZ,000632,三木集团,福建,综合类,19961121
186,000633.SZ,000633,合金投资,新疆,综合类,19961112
187,000635.SZ,000635,英力特,宁夏,化工原料,19961120
188,000636.SZ,000636,风华高科,广东,元器件,19961129
189,000637.SZ,000637,茂化实华,广东,石油加工,19961114
190,000639.SZ,000639,西王食品,山东,食品,19961126
191,000650.SZ,000650,仁和药业,江西,中成药,19961210
192,000651.SZ,000651,格力电器,广东,家用电器,19961118
193,000652.SZ,000652,泰达股份,天津,批发业,19961128
194,000655.SZ,000655,金岭矿业,山东,普钢,19961128
195,000656.SZ,000656,金科股份,重庆,区域地产,19961128
196,000657.SZ,000657,中钨高新,海南,小金属,19961205
197,000659.SZ,000659,珠海中富,广东,广告包装,19961203
198,000661.SZ,000661,长春高新,吉林,生物制药,19961218
199,000665.SZ,000665,湖北广电,湖北,影视音像,19961210
200,000666.SZ,000666,经纬纺机,北京,多元金融,19961210
201,000667.SZ,000667,美好置业,云南,全国地产,19961205
202,000668.SZ,000668,荣丰控股,上海,区域地产,19961210
203,000671.SZ,000671,阳光城,福建,区域地产,19961218
204,000672.SZ,000672,上峰水泥,甘肃,水泥,19961218
205,000676.SZ,000676,智度股份,河南,互联网,19961224
206,000677.SZ,000677,恒天海龙,山东,化纤,19961226
207,000678.SZ,000678,襄阳轴承,湖北,机械基件,19970106
208,000679.SZ,000679,大连友谊,辽宁,百货,19970124
209,000680.SZ,000680,山推股份,山东,工程机械,19970122
210,000681.SZ,000681,视觉中国,江苏,互联网,19970121
211,000682.SZ,000682,东方电子,山东,软件服务,19970121
212,000683.SZ,000683,远兴能源,内蒙,化工原料,19970131
213,000685.SZ,000685,中山公用,广东,水务,19970123
214,000686.SZ,000686,东北证券,吉林,证券,19970227
215,000688.SZ,000688,国城矿业,重庆,铅锌,19970120
216,000690.SZ,000690,宝新能源,广东,火力发电,19970128
217,000691.SZ,000691,亚太实业,甘肃,化工原料,19970228
218,000692.SZ,000692,惠天热电,辽宁,供气供热,19970227
219,000695.SZ,000695,滨海能源,天津,广告包装,19970218
220,000697.SZ,000697,炼石航空,陕西,航空,19970325
221,000698.SZ,000698,沈阳化工,辽宁,化工原料,19970220
222,000700.SZ,000700,模塑科技,江苏,汽车配件,19970228
223,000701.SZ,000701,厦门信达,福建,综合类,19970226
224,000702.SZ,000702,正虹科技,湖南,饲料,19970318
225,000703.SZ,000703,恒逸石化,广西,化纤,19970328
226,000705.SZ,000705,浙江震元,浙江,医药商业,19970410
227,000708.SZ,000708,中信特钢,湖北,特种钢,19970326
228,000709.SZ,000709,河钢股份,河北,普钢,19970416
229,000710.SZ,000710,贝瑞基因,四川,医疗保健,19970422
230,000711.SZ,000711,京蓝科技,黑龙江,软件服务,19970411
231,000712.SZ,000712,锦龙股份,广东,证券,19970415
232,000713.SZ,000713,丰乐种业,安徽,种植业,19970422
233,000715.SZ,000715,中兴商业,辽宁,百货,19970508
234,000716.SZ,000716,黑芝麻,广西,食品,19970418
235,000717.SZ,000717,韶钢松山,广东,普钢,19970508
