,trade_date,open,close,high,low
270,20230423,27.46,26.57,28.83,26.51
269,20230416,27.06,27.87,28.97,26.73
268,20230409,24.63,27.29,27.29,24.41
267,20230402,23.39,24.63,24.97,22.97
266,20230326,23.37,23.34,24.51,22.81
265,20230319,23.7,23.34,25.25,23.34
264,20230312,24.72,23.69,24.8,23.32
263,20230305,23.07,24.6,25.96,22.96
262,20230226,24.42,23.34,24.48,23.22
261,20230219,24.64,24.24,25.75,23.63
260,20230212,23.81,24.66,25.53,22.95
259,20230205,23.68,23.95,24.72,22.89
258,20230122,23.5,23.47,24.44,22.94
257,20230115,22.1,23.61,23.79,21.98
256,20230108,22.33,22.1,22.96,21.85
255,20230101,21.04,22.25,23.1,20.03
254,20221225,20.81,20.91,21.75,19.97
253,20221218,21.12,20.81,21.66,20.46
252,20221211,22.47,21.28,22.64,20.66
251,20221204,21.84,22.47,23.28,21.4
250,20221127,22.94,22.29,23.78,21.4
249,20221120,21.8,23.28,24.55,21.79
248,20221113,24.24,22.08,25.18,21.7
247,20221106,22.4,24.2,24.55,21.7
246,20221030,22.7,22.4,23.6,21.67
245,20221023,20.66,22.4,22.98,20.49
244,20221016,19.25,20.68,21.2,18.49
243,20221002,16.65,19.16,19.45,16.48
242,20220925,17.77,16.74,18.56,16.31
241,20220918,19.33,17.65,19.4,17.64
240,20220911,18.66,19.32,19.47,17.62
239,20220904,18.8,18.76,19.68,18.56
238,20220828,20.5,18.99,20.58,18.66
237,20220821,17.33,20.2,20.83,16.84
236,20220814,15.73,17.42,17.55,15.44
235,20220807,15.62,15.54,15.9,15.01
234,20220731,15.75,15.64,16.35,15.52
233,20220724,16.4,15.72,16.51,15.55
232,20220717,16.45,16.33,16.98,15.81
231,20220710,15.78,16.45,17.17,15.66
230,20220703,15.53,15.94,16.4,15.28
229,20220626,15.82,15.49,16.23,15.38
228,20220619,15.25,15.78,15.87,14.9
227,20220612,15.22,15.38,15.67,15.0
226,20220605,14.15,15.15,15.9,13.82
225,20220529,14.52,14.09,15.18,13.74
224,20220522,15.18,14.48,15.51,14.23
223,20220515,14.2,15.19,15.3,13.94
222,20220508,14.47,14.2,14.89,14.14
221,20220501,13.97,14.53,14.64,12.78
220,20220424,14.28,14.05,14.88,13.84
219,20220417,14.54,14.28,14.68,14.07
218,20220410,15.58,14.5,15.75,14.48
217,20220403,15.42,15.51,16.01,15.26
216,20220327,15.68,15.59,16.08,15.4
215,20220320,16.35,15.78,16.57,14.18
214,20220313,16.79,16.34,16.79,15.02
213,20220306,16.87,16.8,17.18,16.5
212,20220227,17.04,16.85,17.17,16.41
211,20220220,17.1,17.03,17.39,16.85
210,20220213,17.27,17.15,18.48,17.0
209,20220130,19.96,17.12,19.96,16.83
208,20220123,20.45,19.82,21.6,19.17
