,trade_date,open,close,high,low
152,20201227,4.69,4.73,4.76,4.49
151,20201220,4.58,4.71,4.85,4.4
150,20201213,4.94,4.58,4.95,4.54
149,20201206,5.15,4.95,5.26,4.91
148,20201129,5.08,5.16,5.27,5.02
147,20201122,5.01,5.08,5.15,4.99
146,20201115,5.15,5.01,5.25,4.95
145,20201108,4.88,5.14,5.22,4.68
144,20201101,5.0,4.88,5.28,4.86
143,20201025,5.26,4.96,5.32,4.95
142,20201018,5.44,5.28,5.53,5.14
141,20201011,5.41,5.41,5.56,5.39
140,20201004,5.46,5.41,5.49,5.27
139,20200927,5.77,5.46,5.82,5.29
138,20200920,5.77,5.8,5.89,5.57
137,20200913,5.56,5.83,5.96,5.4
136,20200906,5.55,5.54,5.86,5.44
135,20200830,6.1,5.57,6.16,5.31
134,20200823,4.85,6.2,6.25,4.85
133,20200816,4.57,4.83,4.88,4.55
132,20200809,4.7,4.57,4.74,4.55
131,20200802,4.64,4.69,4.79,4.61
130,20200726,4.65,4.66,5.05,4.58
129,20200719,4.69,4.63,4.79,4.54
128,20200712,4.39,4.69,4.84,4.36
127,20200705,4.0778,4.3399,4.3496,4.0487
126,20200628,4.1458,4.0875,4.1652,4.0681
125,20200621,4.0584,4.1458,4.1652,4.0098
124,20200614,4.1749,4.0875,4.2331,4.039
123,20200607,4.204,4.1749,4.2914,4.136
122,20200531,4.0681,4.204,4.3496,4.0487
121,20200524,4.2234,4.0681,4.2526,4.0487
120,20200517,4.1749,4.2331,4.3496,4.1263
119,20200510,4.039,4.1846,4.272,4.0292
118,20200503,4.039,4.0972,4.1166,3.9419
117,20200426,4.136,4.0584,4.1458,4.039
116,20200419,4.1943,4.1263,4.204,4.0681
115,20200412,4.2428,4.2137,4.2817,4.1846
114,20200405,4.4176,4.204,4.6118,4.1943
113,20200329,4.1943,4.4564,4.5438,4.1749
112,20200322,4.5438,4.2428,4.6118,4.1458
111,20200315,4.6895,4.5438,4.738,4.4467
110,20200308,4.5632,4.7477,4.8157,4.5632
109,20200301,4.8448,4.5632,4.8448,4.5632
108,20200223,4.6895,4.8545,4.9031,4.67
107,20200216,4.7671,4.6992,4.8545,4.6603
106,20200209,4.7283,4.806,4.9419,4.5535
105,20200126,5.3691,5.2526,5.3788,5.2332
104,20200119,5.4176,5.3594,5.505,5.3497
103,20200112,5.4565,5.4273,5.5244,5.3982
102,20200105,5.4176,5.4759,5.5244,5.34
101,20191229,5.6021,5.4273,5.6021,5.4176
100,20191222,5.5729999999999995,5.6312,5.6992,5.5147
99,20191215,5.5827,5.5729999999999995,5.6992,5.4856
98,20191208,5.8448,5.6215,5.9516,5.5827
97,20191201,5.7089,5.8157,5.8448,5.6895
96,20191124,5.272,5.6992,5.7575,5.2429
95,20191117,5.5536,5.2817,5.5827,5.2429
94,20191110,5.5536,5.5729999999999995,5.6701,5.5147
93,20191103,5.6021,5.5536,5.6507,5.4953
92,20191027,5.6215,5.6215,5.8837,5.5244
91,20191020,5.6992,5.6215,5.7283,5.6118
90,20191013,5.6409,5.6895,5.7089,5.5827
89,20191006,5.7089,5.6312,5.7089,5.6312
88,20190929,5.9419,5.7283,5.9419,5.6312
87,20190922,6.1749,5.9225,6.1846,5.9225
86,20190915,6.2041,6.1846,6.2138,6.1361
85,20190908,6.1361,6.1749,6.2526,6.0584
84,20190901,6.3982,6.1167,6.4565,6.0487
83,20190825,6.6507,6.4662,6.6798,6.4079999999999995
82,20190818,6.3594,6.6313,6.8352,6.3303
81,20190811,6.5536,6.3691,6.6507,6.3497
80,20190804,6.2429,6.6118,6.7381,6.2332
79,20190728,6.1652,6.2332,6.3109,6.0778
78,20190721,6.0876,6.1555,6.1944,5.9905
77,20190714,6.1361,6.0973,6.1361,5.971
